"","site","A","B","C","D","E","F","G","H","I","J","K","L","M","N","P","patch","height"
"1","A1-1",13.5,5.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"2","A1-2",6.25,0.25,13.8125,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"3","A2-1",12.8125,NA,NA,NA,23.5,13.5625,40.25,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"4","A2-2",21.4375,NA,NA,NA,12.75,3.75,7.375,12.0625,NA,NA,NA,NA,NA,NA,NA,"A","H"
"5","A3-1",2.5,2.5,NA,NA,3.875,15.625,NA,40.625,4.375,NA,NA,NA,NA,NA,NA,"A","L"
"6","A3-2",45.625,0.0625,NA,NA,10,NA,NA,NA,0.1875,NA,NA,NA,NA,NA,NA,"A","H"
"7","A4-1",0.625,21.9375,0.0625,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"8","A4-2",9.125,31.5625,NA,NA,0.1875,NA,NA,NA,NA,3.3125,NA,NA,NA,NA,NA,"A","H"
"9","A6-1",NA,48.0625,NA,NA,NA,34.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"10","A6-2",NA,54.9375,NA,NA,NA,27.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"11","A7-1",NA,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"12","A7-2",NA,33.875,NA,NA,0.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"13","A8-1",NA,3.125,NA,NA,56.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"14","A8-2",NA,17.75,7.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"15","A9-1",NA,12.1875,0.1875,NA,NA,NA,NA,NA,NA,NA,0.8125,NA,NA,NA,NA,"A","L"
"16","A9-2",NA,33.125,0.0625,NA,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,"A","H"
"17","B1-1",2,6.625,10.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"18","B1-2",0.0625,47.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"19","B10-1",NA,NA,NA,1.625,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"20","B10-2",0.0625,NA,4.0625,4.125,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"21","B2-1",14.25,NA,36.6875,NA,6.6875,19.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"22","B2-2",19.375,NA,39.0625,NA,21.25,4.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"23","B3-1",NA,NA,38.875,1.25,NA,NA,NA,7.5,28.25,NA,NA,NA,NA,NA,NA,"B","L"
"24","B3-2",NA,NA,15.125,6.9375,NA,NA,NA,6.25,35,NA,NA,NA,NA,NA,NA,"B","H"
"25","B4-1",NA,NA,NA,54.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"26","B4-2",NA,NA,NA,59.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"27","B5-1",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"28","B5-2",NA,NA,NA,7.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"29","B6-1",NA,NA,9.1875,1.3125,NA,NA,0.125,NA,NA,84.6875,NA,NA,NA,NA,NA,"B","L"
"30","B6-2",NA,NA,31.5625,56.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"31","B7-1",NA,5.625,9.1875,68.625,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,"B","L"
"32","B7-2",NA,NA,13.1875,63.5,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,"B","H"
"33","B9-1",NA,NA,NA,95.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"34","B9-2",NA,NA,NA,19.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"35","C1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9375,NA,NA,NA,NA,NA,"C","L"
"36","C10-1",NA,NA,94.1875,0,NA,NA,NA,NA,NA,5.125,NA,NA,NA,NA,NA,"C","L"
"37","C10-2",NA,NA,NA,84,NA,NA,NA,NA,0.0625,0.125,NA,NA,NA,NA,NA,"C","H"
"38","C2-1",NA,NA,NA,92,NA,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,"C","L"
"39","C2-2",NA,NA,NA,63.4375,NA,NA,NA,NA,2.9375,NA,NA,NA,NA,NA,NA,"C","H"
"40","C3-2",NA,NA,NA,15.25,NA,NA,NA,NA,2.6875,NA,NA,NA,NA,NA,NA,"C","H"
"41","C4-1",NA,NA,NA,40.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","L"
"42","C4-2",NA,NA,NA,86.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","H"
"43","C5-1",NA,NA,14.5625,45.4375,8.75,7.1875,NA,NA,8.75,NA,NA,NA,NA,NA,NA,"C","L"
"44","C5-2",1.5625,NA,NA,31.5625,NA,2.25,NA,NA,12.8125,NA,NA,NA,NA,NA,NA,"C","H"
"45","C6-1",NA,NA,NA,11.9375,NA,NA,36.25,NA,NA,NA,NA,NA,NA,NA,NA,"C","L"
"46","C6-2",NA,NA,1.875,14.375,NA,0.3125,4.75,NA,NA,NA,NA,NA,NA,NA,NA,"C","H"
"47","C7-1",NA,NA,NA,11.25,NA,0.9375,11,NA,NA,NA,NA,NA,NA,NA,NA,"C","L"
"48","C7-2",NA,NA,7.1875,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","H"
"49","C8-1",NA,NA,NA,5.5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"C","L"
"50","C8-2",NA,NA,NA,23.3125,NA,NA,3.3125,NA,NA,NA,60.125,NA,NA,NA,NA,"C","H"
"51","C9-1",NA,NA,NA,59.6875,NA,NA,NA,NA,NA,4.6875,1.25,NA,NA,NA,NA,"C","L"
"52","C9-2",NA,NA,NA,69.625,NA,NA,NA,0.0625,1.0625,NA,NA,NA,NA,NA,NA,"C","H"
"53","D1-1",NA,0.625,NA,1.25,NA,NA,2.625,NA,NA,34.375,38.375,NA,NA,NA,NA,"D","L"
"54","D1-2",NA,NA,5,53.75,NA,2.1875,NA,NA,1.875,NA,NA,NA,NA,NA,NA,"D","H"
"55","D10-1",NA,NA,NA,21.25,NA,NA,21.375,NA,NA,NA,NA,NA,NA,NA,NA,"D","L"
"56","D10-2",NA,NA,NA,5.125,NA,14.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","H"
"57","D2-1",NA,NA,47.875,9.5,NA,0.125,NA,NA,NA,NA,8.4375,NA,NA,NA,NA,"D","L"
"58","D2-2",NA,NA,NA,53.75,NA,8.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","H"
"59","D3-1",NA,NA,19.125,40.125,NA,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","L"
"60","D3-2",NA,NA,NA,4.3125,NA,40.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","H"
"61","D4-1",NA,NA,NA,20.375,NA,NA,23.125,NA,NA,NA,20.3125,NA,NA,NA,NA,"D","L"
"62","D4-2",NA,NA,NA,24.6875,NA,0.625,NA,NA,NA,NA,38.75,NA,NA,NA,NA,"D","H"
"63","D5-1",NA,NA,NA,53.125,NA,NA,NA,NA,NA,NA,25.9375,NA,NA,NA,NA,"D","L"
"64","D5-2",NA,NA,3.875,66.5625,NA,3.1875,NA,NA,3.4375,NA,NA,NA,NA,NA,NA,"D","H"
"65","D6-1",NA,NA,NA,23.125,NA,NA,0.375,NA,NA,2.0625,NA,NA,NA,NA,NA,"D","L"
"66","D6-2",NA,NA,0.3125,4.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","H"
"67","D7-1",NA,0.0625,NA,38.4375,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"D","L"
"68","D7-2",NA,NA,NA,59.6875,NA,NA,1.0625,NA,NA,NA,5.9375,NA,NA,NA,NA,"D","H"
"69","D8-1",NA,NA,NA,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","L"
"70","D8-2",NA,NA,NA,19,NA,2.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","H"
"71","D9-1",6.375,NA,12.125,NA,NA,0.0625,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,"D","L"
"72","D9-2",16.5625,NA,NA,0.625,0.0625,0.0625,1.5625,NA,NA,NA,NA,NA,NA,NA,NA,"D","H"
"73","E1-1",NA,NA,NA,67.9375,NA,3.6875,1.5625,NA,NA,NA,NA,NA,NA,0.0625,NA,"E","L"
"74","E1-2",NA,NA,NA,23.125,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"75","E10-1",NA,NA,22.875,49.25,NA,3.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","L"
"76","E10-2",NA,NA,NA,13.125,NA,29.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"77","E2-1",NA,NA,NA,10.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","L"
"78","E2-2",NA,NA,NA,9.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"79","E3-1",NA,NA,0.0625,0.0625,NA,0.3125,19.1875,NA,NA,14.6875,NA,NA,1.9375,NA,NA,"E","L"
"80","E3-2",NA,NA,3.75,37.8125,NA,NA,NA,NA,3.4375,NA,NA,NA,0.0625,NA,NA,"E","H"
"81","E4-1",NA,NA,NA,5.625,NA,0.125,46.875,NA,NA,NA,NA,NA,NA,NA,NA,"E","L"
"82","E4-2",NA,NA,NA,49.0625,NA,13.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"83","E5-1",NA,NA,4.375,0.9375,NA,0.375,27.3125,NA,NA,NA,NA,NA,0.3125,35.8125,NA,"E","L"
"84","E5-2",NA,NA,NA,2.5,NA,16.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"85","E6-1",NA,NA,NA,3.5,NA,10.5,20.0625,NA,NA,NA,2.625,NA,NA,20.9375,NA,"E","L"
"86","E6-2",NA,NA,NA,NA,NA,3.1875,4.0625,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"87","E7-1",NA,NA,NA,2.5625,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","L"
"88","E7-2",NA,NA,2.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"89","E8-2",NA,NA,6.5625,14.75,NA,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"90","E9-2",NA,NA,NA,35.9375,NA,22.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E","H"
"91","F1-1",NA,NA,NA,3.125,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","L"
"92","F1-2",NA,NA,NA,7.5625,NA,6.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"93","F10-1",NA,NA,NA,18.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","L"
"94","F10-2",NA,NA,NA,5.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"95","F2-1",NA,NA,NA,5.75,NA,11.75,NA,NA,NA,6.875,NA,NA,NA,NA,NA,"F","L"
"96","F2-2",NA,NA,NA,9.375,NA,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"97","F3-1",NA,NA,NA,40,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","L"
"98","F3-2",NA,NA,NA,4.6875,NA,28.75,NA,NA,NA,NA,NA,0.3125,NA,NA,NA,"F","H"
"99","F4-1",NA,NA,NA,19.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","L"
"100","F4-2",NA,NA,NA,16.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"101","F5-1",NA,NA,NA,54.6875,NA,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","L"
"102","F5-2",NA,NA,NA,36.25,NA,36.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"103","F6-1",NA,NA,NA,11.3125,NA,36.25,NA,NA,0.625,NA,NA,NA,NA,NA,NA,"F","L"
"104","F6-2",NA,NA,NA,9.0625,NA,18.75,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"F","H"
"105","F7-1",NA,NA,NA,0.75,NA,2.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","L"
"106","F7-2",NA,NA,NA,1.875,NA,7.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"107","F8-1",NA,NA,NA,6.0625,NA,NA,NA,NA,0.9375,5.9375,NA,NA,NA,NA,NA,"F","L"
"108","F8-2",NA,NA,NA,20.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"109","F9-1",NA,NA,NA,9,NA,16.3125,NA,NA,NA,16.125,NA,0.0625,NA,NA,NA,"F","L"
"110","F9-2",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","H"
"111","G1-1",NA,NA,NA,3.8125,NA,42.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","L"
"112","G1-2",1.25,NA,NA,18.625,NA,6.1875,NA,NA,NA,NA,NA,NA,0.625,NA,NA,"G","H"
"113","G10-1",NA,NA,NA,49.375,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,"G","L"
"114","G10-2",NA,NA,NA,30,NA,2.625,NA,NA,0.625,NA,NA,NA,NA,NA,NA,"G","H"
"115","G2-1",43.125,NA,6.3125,0.5,NA,NA,NA,NA,NA,36.5625,0.375,NA,NA,NA,NA,"G","L"
"116","G2-2",0.9375,NA,87.125,3.75,NA,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","H"
"117","G3-1",NA,NA,30.3125,6.25,NA,NA,NA,NA,NA,16.4375,NA,NA,9.6875,NA,NA,"G","L"
"118","G3-2",NA,NA,NA,31.25,NA,1.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","H"
"119","G4-1",NA,NA,NA,30.3125,NA,0.125,NA,NA,5,8.125,NA,NA,NA,NA,NA,"G","L"
"120","G4-2",NA,NA,NA,43.125,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","H"
"121","G5-1",NA,NA,NA,69.375,NA,8.5625,NA,NA,2.9375,NA,NA,NA,NA,NA,NA,"G","L"
"122","G5-2",NA,NA,NA,55,NA,16.875,NA,NA,10,NA,NA,NA,NA,NA,NA,"G","H"
"123","G6-1",NA,NA,NA,46.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","L"
"124","G6-2",NA,NA,NA,0.0625,NA,11.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","H"
"125","G7-1",NA,NA,NA,79.9375,NA,NA,NA,NA,NA,16,3.125,NA,NA,NA,NA,"G","L"
"126","G7-2",9.6875,NA,4.0625,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","H"
"127","G8-1",NA,NA,NA,5.625,NA,57.5,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"G","L"
"128","G8-2",NA,NA,NA,67.5625,NA,2.3125,NA,NA,7.3125,NA,NA,NA,NA,NA,NA,"G","H"
"129","G9-1",7.5,NA,27.1875,5.9375,NA,0.0625,NA,NA,NA,18.4375,NA,NA,5.6875,NA,NA,"G","L"
"130","G9-2",NA,NA,NA,14.6875,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","H"
"131","H1-1",NA,NA,1.875,17.8125,NA,NA,NA,NA,NA,NA,6.4375,NA,0.3125,0.375,NA,"H","L"
"132","H1-2",NA,NA,2.5625,59.6875,NA,2.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H"
"133","H10-1",NA,NA,NA,NA,NA,73.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","L"
"134","H10-2",NA,NA,NA,NA,NA,57.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H"
"135","H2-1",NA,NA,NA,4.1875,NA,0.625,43.75,NA,3.125,10.625,NA,NA,NA,1.9375,NA,"H","L"
"136","H2-2",NA,NA,NA,2.8125,NA,3.25,NA,NA,0.125,NA,NA,2.8125,NA,NA,NA,"H","H"
"137","H3-1",NA,NA,NA,40.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,NA,"H","L"
"138","H3-2",NA,NA,NA,23.5,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H"
"139","H4-1",NA,NA,0.75,90.1875,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"H","L"
"140","H4-2",NA,NA,24.0625,41.25,NA,1.5625,NA,NA,2.5,NA,3.75,NA,NA,NA,NA,"H","H"
"141","H5-1",NA,NA,NA,80.625,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,"H","L"
"142","H5-2",NA,NA,13.75,41.25,NA,NA,NA,NA,3.125,NA,NA,NA,NA,NA,NA,"H","H"
"143","H6-1",NA,NA,0.3125,2.1875,NA,NA,NA,NA,1.3125,NA,NA,NA,0.0625,31.25,NA,"H","L"
"144","H6-2",NA,NA,NA,2.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","H"
"145","H7-1",NA,NA,NA,12,NA,0.6875,NA,NA,NA,NA,46.5,NA,NA,2.25,NA,"H","L"
"146","H7-2",NA,NA,NA,51.0625,NA,7.1875,NA,0.3125,NA,NA,28.4375,NA,NA,NA,NA,"H","H"
"147","H8-1",NA,NA,NA,0.5,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,"H","L"
"148","H8-2",NA,NA,NA,37.5,NA,4.6875,NA,NA,21.75,NA,NA,NA,NA,NA,NA,"H","H"
"149","H9-1",NA,NA,77.375,NA,NA,NA,3.5625,NA,NA,NA,NA,NA,NA,NA,NA,"H","L"
"150","H9-2",NA,NA,33.4375,3.125,NA,14.6875,NA,NA,14.375,NA,NA,NA,NA,NA,NA,"H","H"
"151","I1-1",NA,NA,NA,55,NA,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","L"
"152","I1-2",0.0625,NA,1.5625,19.4375,NA,4.5,NA,NA,1.375,NA,NA,NA,NA,NA,NA,"I","H"
"153","I10-1",NA,NA,NA,7.8125,NA,18.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","L"
"154","I10-2",NA,NA,NA,5.9375,NA,17.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","H"
"155","I2-1",8.8125,NA,NA,18.4375,NA,0.4375,NA,NA,0.0625,65.4375,NA,NA,NA,NA,NA,"I","L"
"156","I2-2",NA,NA,NA,28.125,NA,33.4375,NA,NA,18.75,NA,NA,0.3125,NA,NA,NA,"I","H"
"157","I3-1",NA,NA,0.3125,24.375,NA,NA,NA,NA,0.0625,NA,NA,NA,8.4375,0.125,NA,"I","L"
"158","I3-2",NA,NA,67.5,10,NA,16.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","H"
"159","I4-1",NA,NA,NA,64.5625,NA,12.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","L"
"160","I4-2",NA,NA,NA,78.6875,NA,6.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","H"
"161","I5-1",NA,NA,0.0625,9.6875,NA,4.0625,NA,NA,NA,40.0625,NA,NA,0.3125,NA,NA,"I","L"
"162","I5-2",NA,NA,NA,NA,NA,6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","H"
"163","I6-1",NA,NA,NA,21.625,NA,8.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","L"
"164","I6-2",NA,NA,NA,10.625,NA,53.4375,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"I","H"
"165","I7-1",12.3125,NA,30.6875,10.3125,NA,NA,NA,NA,NA,39.625,NA,NA,NA,NA,NA,"I","L"
"166","I7-2",NA,NA,NA,14.6875,NA,1.0625,NA,NA,33.4375,NA,NA,NA,0.625,NA,NA,"I","H"
"167","I8-1",NA,NA,NA,NA,NA,71.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","L"
"168","I8-2",NA,NA,NA,28.1875,NA,NA,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"I","H"
"169","I9-1",NA,NA,NA,NA,NA,89.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","L"
"170","I9-2",NA,NA,NA,3.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","H"
"171","J1-1",NA,NA,NA,NA,NA,43.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","L"
"172","J1-2",NA,NA,NA,13,NA,27.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","H"
"173","J10-1",NA,NA,NA,24.0625,NA,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","L"
"174","J10-2",NA,NA,NA,12.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","H"
"175","J2-1",0.0625,NA,NA,56.875,NA,1.0625,NA,NA,NA,NA,2.8125,NA,NA,NA,NA,"J","L"
"176","J2-2",NA,NA,NA,0.125,NA,8.125,NA,NA,0.125,NA,NA,NA,NA,NA,NA,"J","H"
"177","J3-1",NA,NA,NA,50,NA,0.0625,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,"J","L"
"178","J3-2",NA,0.0625,NA,4.75,NA,36.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","H"
"179","J4-1",NA,NA,0.9375,64.0625,NA,5.0625,NA,NA,1.875,NA,NA,NA,3.4375,NA,NA,"J","L"
"180","J4-2",NA,NA,NA,18.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","H"
"181","J5-1",NA,NA,NA,59.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","L"
"182","J5-2",NA,NA,NA,5.0625,NA,35.3125,NA,NA,0.3125,NA,NA,NA,NA,NA,NA,"J","H"
"183","J6-1",NA,NA,NA,15.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","L"
"184","J6-2",NA,NA,3.875,22.5625,NA,NA,NA,NA,NA,NA,42.125,NA,NA,NA,NA,"J","H"
"185","J7-1",NA,NA,NA,1.25,NA,3.75,NA,NA,NA,NA,24.375,NA,NA,2.8125,NA,"J","L"
"186","J7-2",NA,NA,NA,55.3125,NA,21.875,NA,NA,NA,NA,NA,5.0625,NA,NA,NA,"J","H"
"187","J8-1",NA,NA,NA,7.8125,NA,4.125,NA,NA,NA,NA,NA,NA,NA,10,NA,"J","L"
"188","J8-2",NA,NA,NA,7.8125,NA,33.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","H"
"189","J9-1",NA,NA,NA,16.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3125,NA,"J","L"
"190","J9-2",NA,NA,1,8.1875,NA,0.75,NA,NA,1.5625,NA,NA,NA,NA,2,NA,"J","H"
"191","K1-1",NA,NA,NA,31.9375,NA,40.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","L"
"192","K1-2",NA,NA,NA,28.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","H"
"193","K10-1",NA,NA,NA,NA,NA,7.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","L"
"194","K10-2",NA,NA,NA,NA,NA,10.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","H"
